2021-07-11 10:52:03 [info] Event logging started at level warn
2021-07-11 10:52:03 [info] Running: LPC176x: 3.2.2_2 (2021-02-19)
2021-07-11 11:20:29 [warn] Beginning heatbreak profile
2021-07-11 11:20:29 [warn] Temp0 219.1
2021-07-11 11:20:29 [warn] Temp1 23.7
2021-07-11 11:20:29 [warn] Temp2 22.8
2021-07-11 11:20:29 [warn] Temp3 219.0
2021-07-11 11:38:02 [warn] Temp1 73.2, Z 33.000, N 2
2021-07-11 11:38:15 [warn] Temp1 62.5, Z 32.500, N 2
2021-07-11 11:38:27 [warn] Temp1 55.2, Z 32.000, N 2
2021-07-11 11:38:39 [warn] Temp1 52.5, Z 31.500, N 2
2021-07-11 11:38:52 [warn] Temp1 51.2, Z 31.000, N 2
2021-07-11 11:39:04 [warn] Temp1 50.8, Z 30.500, N 2
2021-07-11 11:39:16 [warn] Temp1 50.5, Z 30.000, N 2
2021-07-11 11:39:29 [warn] Temp1 50.5, Z 29.500, N 2
2021-07-11 11:39:41 [warn] Temp1 50.5, Z 29.000, N 2
2021-07-11 11:39:53 [warn] Temp1 50.5, Z 28.500, N 2
2021-07-11 11:40:06 [warn] Temp1 50.8, Z 28.000, N 2
2021-07-11 11:40:06 [warn] Profile replicate 3
2021-07-11 11:40:56 [warn] Temp1 224.8, Z 50.000, N 3
2021-07-11 11:41:08 [warn] Temp1 225.0, Z 49.500, N 3
2021-07-11 11:41:20 [warn] Temp1 224.8, Z 49.000, N 3
2021-07-11 11:41:33 [warn] Temp1 225.0, Z 48.500, N 3
2021-07-11 11:41:45 [warn] Temp1 225.0, Z 48.000, N 3
2021-07-11 11:41:57 [warn] Temp1 224.8, Z 47.500, N 3
2021-07-11 11:42:10 [warn] Temp1 224.8, Z 47.000, N 3
2021-07-11 11:42:22 [warn] Temp1 225.5, Z 46.500, N 3
2021-07-11 11:42:34 [warn] Temp1 224.8, Z 46.000, N 3
2021-07-11 11:42:47 [warn] Temp1 225.5, Z 45.500, N 3
2021-07-11 11:42:59 [warn] Temp1 225.0, Z 45.000, N 3
2021-07-11 11:43:11 [warn] Temp1 225.2, Z 44.500, N 3
2021-07-11 11:43:24 [warn] Temp1 224.8, Z 44.000, N 3
2021-07-11 11:43:36 [warn] Temp1 225.2, Z 43.500, N 3
2021-07-11 11:43:48 [warn] Temp1 224.5, Z 43.000, N 3
2021-07-11 11:44:01 [warn] Temp1 224.5, Z 42.500, N 3
2021-07-11 11:44:13 [warn] Temp1 224.0, Z 42.000, N 3
2021-07-11 11:44:25 [warn] Temp1 224.2, Z 41.500, N 3
2021-07-11 11:44:38 [warn] Temp1 223.8, Z 41.000, N 3
2021-07-11 11:44:50 [warn] Temp1 222.5, Z 40.500, N 3
2021-07-11 11:45:02 [warn] Temp1 221.5, Z 40.000, N 3
2021-07-11 11:45:15 [warn] Temp1 220.0, Z 39.500, N 3
2021-07-11 11:45:27 [warn] Temp1 218.2, Z 39.000, N 3
2021-07-11 11:45:39 [warn] Temp1 215.0, Z 38.500, N 3
2021-07-11 11:45:52 [warn] Temp1 211.8, Z 38.000, N 3
2021-07-11 11:46:04 [warn] Temp1 206.8, Z 37.500, N 3
2021-07-11 11:46:16 [warn] Temp1 200.2, Z 37.000, N 3
2021-07-11 11:46:29 [warn] Temp1 191.8, Z 36.500, N 3
2021-07-11 11:46:41 [warn] Temp1 179.5, Z 36.000, N 3
2021-07-11 11:46:53 [warn] Temp1 165.0, Z 35.500, N 3
2021-07-11 11:47:06 [warn] Temp1 146.8, Z 35.000, N 3
2021-07-11 11:47:18 [warn] Temp1 127.2, Z 34.500, N 3
2021-07-11 11:47:30 [warn] Temp1 107.5, Z 34.000, N 3
2021-07-11 11:47:43 [warn] Temp1 88.2, Z 33.500, N 3
2021-07-11 11:47:55 [warn] Temp1 73.5, Z 33.000, N 3
2021-07-11 11:48:07 [warn] Temp1 62.5, Z 32.500, N 3
2021-07-11 11:48:20 [warn] Temp1 56.2, Z 32.000, N 3
2021-07-11 11:48:32 [warn] Temp1 53.0, Z 31.500, N 3
2021-07-11 11:48:44 [warn] Temp1 51.5, Z 31.000, N 3
2021-07-11 11:48:57 [warn] Temp1 50.8, Z 30.500, N 3
2021-07-11 11:49:09 [warn] Temp1 51.0, Z 30.000, N 3
2021-07-11 11:49:21 [warn] Temp1 50.8, Z 29.500, N 3
2021-07-11 11:49:34 [warn] Temp1 50.0, Z 29.000, N 3
2021-07-11 11:49:46 [warn] Temp1 50.0, Z 28.500, N 3
2021-07-11 11:49:58 [warn] Temp1 50.2, Z 28.000, N 3
2021-07-11 11:49:58 [warn] Ending heatbreak profile
2021-07-11 11:49:59 [info] Event logging stopped
