2021-07-12 10:00:39 [info] Event logging started at level warn
2021-07-12 10:00:39 [info] Running: LPC176x: 3.2.2_2 (2021-02-19)
2021-07-12 10:03:18 [warn] Beginning heatbreak profile
2021-07-12 10:03:18 [warn] Temp0 219.1
2021-07-12 10:03:18 [warn] Temp1 23.4
2021-07-12 10:03:18 [warn] Temp2 22.8
2021-07-12 10:03:18 [warn] Temp3 221.2
2021-07-12 10:03:18 [warn] Profile replicate 1
2021-07-12 10:04:00 [warn] Temp1 229.8, Z 50.000, N 1
2021-07-12 10:04:12 [warn] Temp1 228.0, Z 49.500, N 1
2021-07-12 10:04:25 [warn] Temp1 225.2, Z 49.000, N 1
2021-07-12 10:04:37 [warn] Temp1 224.5, Z 48.500, N 1
2021-07-12 10:04:49 [warn] Temp1 224.5, Z 48.000, N 1
2021-07-12 10:05:02 [warn] Temp1 225.0, Z 47.500, N 1
2021-07-12 10:05:14 [warn] Temp1 224.8, Z 47.000, N 1
2021-07-12 10:05:26 [warn] Temp1 223.2, Z 46.500, N 1
2021-07-12 10:05:39 [warn] Temp1 223.5, Z 46.000, N 1
2021-07-12 10:05:51 [warn] Temp1 223.8, Z 45.500, N 1
2021-07-12 10:06:03 [warn] Temp1 224.0, Z 45.000, N 1
2021-07-12 10:06:16 [warn] Temp1 224.8, Z 44.500, N 1
2021-07-12 10:06:28 [warn] Temp1 225.2, Z 44.000, N 1
2021-07-12 10:06:40 [warn] Temp1 225.8, Z 43.500, N 1
2021-07-12 10:06:53 [warn] Temp1 225.5, Z 43.000, N 1
2021-07-12 10:07:05 [warn] Temp1 225.5, Z 42.500, N 1
2021-07-12 10:07:17 [warn] Temp1 224.8, Z 42.000, N 1
2021-07-12 10:07:30 [warn] Temp1 224.5, Z 41.500, N 1
2021-07-12 10:07:42 [warn] Temp1 224.8, Z 41.000, N 1
2021-07-12 10:07:54 [warn] Temp1 224.0, Z 40.500, N 1
2021-07-12 10:08:07 [warn] Temp1 223.8, Z 40.000, N 1
2021-07-12 10:08:19 [warn] Temp1 223.2, Z 39.500, N 1
2021-07-12 10:08:31 [warn] Temp1 222.8, Z 39.000, N 1
2021-07-12 10:08:44 [warn] Temp1 221.2, Z 38.500, N 1
2021-07-12 10:08:56 [warn] Temp1 219.2, Z 38.000, N 1
2021-07-12 10:09:08 [warn] Temp1 217.8, Z 37.500, N 1
2021-07-12 10:09:21 [warn] Temp1 214.8, Z 37.000, N 1
2021-07-12 10:09:33 [warn] Temp1 210.2, Z 36.500, N 1
2021-07-12 10:09:45 [warn] Temp1 206.5, Z 36.000, N 1
2021-07-12 10:09:58 [warn] Temp1 198.5, Z 35.500, N 1
