2021-07-10 22:49:13 [info] Event logging started at level warn
2021-07-10 22:49:13 [info] Running: LPC176x: 3.2.2_2 (2021-02-19)
2021-07-10 22:51:25 [warn] Beginning heatbreak profile
2021-07-10 22:51:25 [warn] Temp0 219.1
2021-07-10 22:51:25 [warn] Temp1 26.2
2021-07-10 22:51:25 [warn] Temp2 24.2
2021-07-10 22:51:25 [warn] Temp2 219.0
2021-07-10 23:08:59 [warn] Temp1 100.0, Z 33.000, N 2
2021-07-10 23:09:11 [warn] Temp1 93.8, Z 32.500, N 2
2021-07-10 23:09:23 [warn] Temp1 89.5, Z 32.000, N 2
2021-07-10 23:09:36 [warn] Temp1 87.2, Z 31.500, N 2
2021-07-10 23:09:48 [warn] Temp1 86.2, Z 31.000, N 2
2021-07-10 23:10:00 [warn] Temp1 85.8, Z 30.500, N 2
2021-07-10 23:10:13 [warn] Temp1 85.8, Z 30.000, N 2
2021-07-10 23:10:25 [warn] Temp1 86.0, Z 29.500, N 2
2021-07-10 23:10:37 [warn] Temp1 86.0, Z 29.000, N 2
2021-07-10 23:10:50 [warn] Temp1 86.2, Z 28.500, N 2
2021-07-10 23:11:02 [warn] Temp1 86.0, Z 28.000, N 2
2021-07-10 23:11:02 [warn] Profile replicate 3
2021-07-10 23:11:52 [warn] Temp1 225.0, Z 50.000, N 3
2021-07-10 23:12:04 [warn] Temp1 225.8, Z 49.500, N 3
2021-07-10 23:12:17 [warn] Temp1 225.0, Z 49.000, N 3
2021-07-10 23:12:29 [warn] Temp1 225.8, Z 48.500, N 3
2021-07-10 23:12:41 [warn] Temp1 225.5, Z 48.000, N 3
2021-07-10 23:12:54 [warn] Temp1 225.8, Z 47.500, N 3
2021-07-10 23:13:06 [warn] Temp1 225.5, Z 47.000, N 3
2021-07-10 23:13:18 [warn] Temp1 225.8, Z 46.500, N 3
2021-07-10 23:13:31 [warn] Temp1 225.5, Z 46.000, N 3
2021-07-10 23:13:43 [warn] Temp1 225.8, Z 45.500, N 3
2021-07-10 23:13:55 [warn] Temp1 225.8, Z 45.000, N 3
2021-07-10 23:14:08 [warn] Temp1 225.8, Z 44.500, N 3
2021-07-10 23:14:20 [warn] Temp1 225.8, Z 44.000, N 3
2021-07-10 23:14:32 [warn] Temp1 225.0, Z 43.500, N 3
2021-07-10 23:14:45 [warn] Temp1 225.2, Z 43.000, N 3
2021-07-10 23:14:57 [warn] Temp1 224.8, Z 42.500, N 3
2021-07-10 23:15:09 [warn] Temp1 224.5, Z 42.000, N 3
2021-07-10 23:15:22 [warn] Temp1 224.5, Z 41.500, N 3
2021-07-10 23:15:34 [warn] Temp1 224.0, Z 41.000, N 3
2021-07-10 23:15:46 [warn] Temp1 223.0, Z 40.500, N 3
2021-07-10 23:15:59 [warn] Temp1 221.0, Z 40.000, N 3
2021-07-10 23:16:11 [warn] Temp1 219.2, Z 39.500, N 3
2021-07-10 23:16:23 [warn] Temp1 216.5, Z 39.000, N 3
2021-07-10 23:16:36 [warn] Temp1 212.8, Z 38.500, N 3
2021-07-10 23:16:48 [warn] Temp1 207.8, Z 38.000, N 3
2021-07-10 23:17:00 [warn] Temp1 201.5, Z 37.500, N 3
2021-07-10 23:17:13 [warn] Temp1 193.0, Z 37.000, N 3
2021-07-10 23:17:25 [warn] Temp1 183.2, Z 36.500, N 3
2021-07-10 23:17:37 [warn] Temp1 171.8, Z 36.000, N 3
2021-07-10 23:17:50 [warn] Temp1 160.0, Z 35.500, N 3
2021-07-10 23:18:02 [warn] Temp1 146.2, Z 35.000, N 3
2021-07-10 23:18:14 [warn] Temp1 134.2, Z 34.500, N 3
2021-07-10 23:18:27 [warn] Temp1 122.2, Z 34.000, N 3
2021-07-10 23:18:39 [warn] Temp1 111.2, Z 33.500, N 3
2021-07-10 23:18:51 [warn] Temp1 103.8, Z 33.000, N 3
2021-07-10 23:19:04 [warn] Temp1 97.5, Z 32.500, N 3
2021-07-10 23:19:16 [warn] Temp1 93.5, Z 32.000, N 3
2021-07-10 23:19:28 [warn] Temp1 91.0, Z 31.500, N 3
2021-07-10 23:19:41 [warn] Temp1 90.0, Z 31.000, N 3
2021-07-10 23:19:53 [warn] Temp1 89.0, Z 30.500, N 3
2021-07-10 23:20:05 [warn] Temp1 89.0, Z 30.000, N 3
2021-07-10 23:20:18 [warn] Temp1 88.8, Z 29.500, N 3
2021-07-10 23:20:30 [warn] Temp1 89.0, Z 29.000, N 3
2021-07-10 23:20:42 [warn] Temp1 88.5, Z 28.500, N 3
2021-07-10 23:20:55 [warn] Temp1 89.2, Z 28.000, N 3
2021-07-10 23:20:55 [warn] Ending heatbreak profile
2021-07-10 23:20:55 [info] Event logging stopped
