2021-03-26 23:18:52 [info] Event logging started at level warn
2021-03-26 23:18:52 [info] Running: LPC176x: 3.2_7 (2021-02-03)
2021-03-26 23:34:36 [warn] Beginning heatbreak profile
2021-03-26 23:34:36 [warn] Temp0 219.0
2021-03-26 23:34:36 [warn] Temp1 192.0
2021-03-26 23:34:36 [warn] Temp2 -273.1
2021-03-26 23:34:36 [warn] Profile replicate 1
2021-03-26 23:52:23 [warn] Temp1 78.1, Z 32.500, N 2
2021-03-26 23:52:35 [warn] Temp1 77.6, Z 32.000, N 2
2021-03-26 23:52:47 [warn] Temp1 77.3, Z 31.500, N 2
2021-03-26 23:53:00 [warn] Temp1 77.1, Z 31.000, N 2
2021-03-26 23:53:12 [warn] Temp1 76.9, Z 30.500, N 2
2021-03-26 23:53:24 [warn] Temp1 76.8, Z 30.000, N 2
2021-03-26 23:53:37 [warn] Temp1 76.7, Z 29.500, N 2
2021-03-26 23:53:49 [warn] Temp1 76.6, Z 29.000, N 2
2021-03-26 23:54:01 [warn] Temp1 76.5, Z 28.500, N 2
2021-03-26 23:54:14 [warn] Temp1 76.5, Z 28.000, N 2
2021-03-26 23:54:14 [warn] Profile replicate 3
2021-03-26 23:55:04 [warn] Temp1 194.8, Z 50.000, N 3
2021-03-26 23:55:16 [warn] Temp1 194.4, Z 49.500, N 3
2021-03-26 23:55:28 [warn] Temp1 194.0, Z 49.000, N 3
2021-03-26 23:55:41 [warn] Temp1 193.7, Z 48.500, N 3
2021-03-26 23:55:53 [warn] Temp1 193.2, Z 48.000, N 3
2021-03-26 23:56:05 [warn] Temp1 192.5, Z 47.500, N 3
2021-03-26 23:56:18 [warn] Temp1 192.0, Z 47.000, N 3
2021-03-26 23:56:30 [warn] Temp1 191.2, Z 46.500, N 3
2021-03-26 23:56:42 [warn] Temp1 190.1, Z 46.000, N 3
2021-03-26 23:56:55 [warn] Temp1 189.0, Z 45.500, N 3
2021-03-26 23:57:07 [warn] Temp1 187.8, Z 45.000, N 3
2021-03-26 23:57:19 [warn] Temp1 186.2, Z 44.500, N 3
2021-03-26 23:57:32 [warn] Temp1 184.9, Z 44.000, N 3
2021-03-26 23:57:44 [warn] Temp1 182.8, Z 43.500, N 3
2021-03-26 23:57:56 [warn] Temp1 179.8, Z 43.000, N 3
2021-03-26 23:58:09 [warn] Temp1 176.9, Z 42.500, N 3
2021-03-26 23:58:21 [warn] Temp1 174.8, Z 42.000, N 3
2021-03-26 23:58:33 [warn] Temp1 172.4, Z 41.500, N 3
2021-03-26 23:58:46 [warn] Temp1 170.0, Z 41.000, N 3
2021-03-26 23:58:58 [warn] Temp1 167.6, Z 40.500, N 3
2021-03-26 23:59:10 [warn] Temp1 164.4, Z 40.000, N 3
2021-03-26 23:59:23 [warn] Temp1 160.8, Z 39.500, N 3
2021-03-26 23:59:35 [warn] Temp1 156.5, Z 39.000, N 3
2021-03-26 23:59:47 [warn] Temp1 151.1, Z 38.500, N 3
2021-03-27 00:00:00 [warn] Temp1 144.1, Z 38.000, N 3
