2021-07-10 18:26:28 [info] Event logging started at level warn
2021-07-10 18:26:28 [info] Running: LPC176x: 3.2.2_2 (2021-02-19)
2021-07-10 18:26:53 [warn] Error: Failed to enable endstops
2021-07-10 18:28:23 [info] Event logging stopped
2021-07-10 18:28:23 [info] Event logging started at level warn
2021-07-10 18:28:23 [info] Running: LPC176x: 3.2.2_2 (2021-02-19)
2021-07-10 18:29:14 [warn] Beginning heatbreak profile
2021-07-10 18:29:14 [warn] Temp0 19.9
2021-07-10 18:29:14 [warn] Temp1 25.7
2021-07-10 18:29:14 [warn] Temp2 25.1
2021-07-10 18:29:14 [warn] Temp3 31.2
2021-07-10 18:29:14 [warn] Profile replicate 1
2021-07-10 18:29:36 [info] Event logging stopped
2021-07-10 18:33:24 [info] Event logging started at level warn
2021-07-10 18:33:24 [info] Running: LPC176x: 3.2.2_2 (2021-02-19)
2021-07-10 18:35:50 [warn] Beginning heatbreak profile
2021-07-10 18:35:50 [warn] Temp0 219.1
2021-07-10 18:35:50 [warn] Temp1 26.3
2021-07-10 18:35:50 [warn] Temp2 25.5
2021-07-10 18:35:50 [warn] Temp3 213.2
2021-07-10 18:51:21 [warn] Temp1 211.5, Z 38.000, N 2
2021-07-10 18:51:33 [warn] Temp1 210.2, Z 37.500, N 2
2021-07-10 18:51:46 [warn] Temp1 207.5, Z 37.000, N 2
2021-07-10 18:51:58 [warn] Temp1 203.2, Z 36.500, N 2
2021-07-10 18:52:10 [warn] Temp1 197.0, Z 36.000, N 2
2021-07-10 18:52:23 [warn] Temp1 188.5, Z 35.500, N 2
2021-07-10 18:52:35 [warn] Temp1 177.0, Z 35.000, N 2
2021-07-10 18:52:47 [warn] Temp1 160.2, Z 34.500, N 2
2021-07-10 18:53:00 [warn] Temp1 139.0, Z 34.000, N 2
2021-07-10 18:53:12 [warn] Temp1 114.8, Z 33.500, N 2
2021-07-10 18:53:24 [warn] Temp1 91.5, Z 33.000, N 2
2021-07-10 18:53:37 [warn] Temp1 73.0, Z 32.500, N 2
2021-07-10 18:53:49 [warn] Temp1 60.8, Z 32.000, N 2
2021-07-10 18:54:01 [warn] Temp1 54.0, Z 31.500, N 2
2021-07-10 18:54:14 [warn] Temp1 52.0, Z 31.000, N 2
2021-07-10 18:54:26 [warn] Temp1 50.8, Z 30.500, N 2
2021-07-10 18:54:38 [warn] Temp1 50.8, Z 30.000, N 2
2021-07-10 18:54:51 [warn] Temp1 50.8, Z 29.500, N 2
2021-07-10 18:55:03 [warn] Temp1 50.5, Z 29.000, N 2
2021-07-10 18:55:15 [warn] Temp1 50.5, Z 28.500, N 2
2021-07-10 18:55:28 [warn] Temp1 50.0, Z 28.000, N 2
2021-07-10 18:55:28 [warn] Profile replicate 3
2021-07-10 18:56:18 [warn] Temp1 214.8, Z 50.000, N 3
2021-07-10 18:56:30 [warn] Temp1 214.8, Z 49.500, N 3
2021-07-10 18:56:42 [warn] Temp1 214.8, Z 49.000, N 3
2021-07-10 18:56:55 [warn] Temp1 215.2, Z 48.500, N 3
2021-07-10 18:57:07 [warn] Temp1 215.0, Z 48.000, N 3
2021-07-10 18:57:19 [warn] Temp1 215.0, Z 47.500, N 3
2021-07-10 18:57:32 [warn] Temp1 214.8, Z 47.000, N 3
2021-07-10 18:57:44 [warn] Temp1 215.5, Z 46.500, N 3
2021-07-10 18:57:56 [warn] Temp1 215.2, Z 46.000, N 3
2021-07-10 18:58:09 [warn] Temp1 215.5, Z 45.500, N 3
2021-07-10 18:58:21 [warn] Temp1 215.2, Z 45.000, N 3
2021-07-10 18:58:33 [warn] Temp1 215.0, Z 44.500, N 3
2021-07-10 18:58:46 [warn] Temp1 215.0, Z 44.000, N 3
2021-07-10 18:58:58 [warn] Temp1 215.0, Z 43.500, N 3
2021-07-10 18:59:10 [warn] Temp1 214.8, Z 43.000, N 3
2021-07-10 18:59:23 [warn] Temp1 215.0, Z 42.500, N 3
2021-07-10 18:59:35 [warn] Temp1 215.5, Z 42.000, N 3
2021-07-10 18:59:47 [warn] Temp1 215.5, Z 41.500, N 3
2021-07-10 19:00:00 [warn] Temp1 215.2, Z 41.000, N 3
2021-07-10 19:00:12 [warn] Temp1 215.0, Z 40.500, N 3
2021-07-10 19:00:24 [warn] Temp1 214.5, Z 40.000, N 3
2021-07-10 19:00:37 [warn] Temp1 214.2, Z 39.500, N 3
2021-07-10 19:00:49 [warn] Temp1 213.8, Z 39.000, N 3
2021-07-10 19:01:01 [warn] Temp1 212.5, Z 38.500, N 3
2021-07-10 19:01:14 [warn] Temp1 210.8, Z 38.000, N 3
2021-07-10 19:01:26 [warn] Temp1 208.8, Z 37.500, N 3
2021-07-10 19:01:38 [warn] Temp1 206.5, Z 37.000, N 3
2021-07-10 19:01:51 [warn] Temp1 202.0, Z 36.500, N 3
2021-07-10 19:02:03 [warn] Temp1 196.2, Z 36.000, N 3
2021-07-10 19:02:15 [warn] Temp1 188.2, Z 35.500, N 3
2021-07-10 19:02:28 [warn] Temp1 176.8, Z 35.000, N 3
2021-07-10 19:02:40 [warn] Temp1 160.5, Z 34.500, N 3
2021-07-10 19:02:52 [warn] Temp1 139.8, Z 34.000, N 3
2021-07-10 19:03:05 [warn] Temp1 116.0, Z 33.500, N 3
2021-07-10 19:03:17 [warn] Temp1 93.0, Z 33.000, N 3
2021-07-10 19:03:29 [warn] Temp1 74.0, Z 32.500, N 3
2021-07-10 19:03:41 [warn] Temp1 61.0, Z 32.000, N 3
2021-07-10 19:03:54 [warn] Temp1 54.2, Z 31.500, N 3
2021-07-10 19:04:06 [warn] Temp1 51.8, Z 31.000, N 3
2021-07-10 19:04:18 [warn] Temp1 50.5, Z 30.500, N 3
2021-07-10 19:04:31 [warn] Temp1 50.8, Z 30.000, N 3
2021-07-10 19:04:43 [warn] Temp1 50.0, Z 29.500, N 3
2021-07-10 19:04:55 [warn] Temp1 50.2, Z 29.000, N 3
2021-07-10 19:05:08 [warn] Temp1 50.2, Z 28.500, N 3
2021-07-10 19:05:20 [warn] Temp1 49.5, Z 28.000, N 3
2021-07-10 19:05:20 [warn] Ending heatbreak profile
2021-07-10 19:05:20 [info] Event logging stopped
