2021-03-26 15:09:05 [info] Event logging started at level warn
2021-03-26 15:09:05 [info] Running: LPC176x: 3.2_7 (2021-02-03)
2021-03-26 15:11:33 [warn] Beginning heatbreak profile
2021-03-26 15:11:33 [warn] Temp0 219.1
2021-03-26 15:11:33 [warn] Temp1 54.6
2021-03-26 15:11:33 [warn] Temp2 -273.1
2021-03-26 15:29:20 [warn] Temp1 59.7, Z 35.500, N 2
2021-03-26 15:29:33 [warn] Temp1 49.6, Z 35.000, N 2
2021-03-26 15:29:45 [warn] Temp1 43.3, Z 34.500, N 2
2021-03-26 15:29:57 [warn] Temp1 39.4, Z 34.000, N 2
2021-03-26 15:30:10 [warn] Temp1 36.9, Z 33.500, N 2
2021-03-26 15:30:22 [warn] Temp1 35.3, Z 33.000, N 2
2021-03-26 15:30:34 [warn] Temp1 34.2, Z 32.500, N 2
2021-03-26 15:30:47 [warn] Temp1 33.4, Z 32.000, N 2
2021-03-26 15:30:59 [warn] Temp1 32.8, Z 31.500, N 2
2021-03-26 15:31:11 [warn] Temp1 32.4, Z 31.000, N 2
2021-03-26 15:31:24 [warn] Temp1 32.0, Z 30.500, N 2
2021-03-26 15:31:36 [warn] Temp1 31.6, Z 30.000, N 2
2021-03-26 15:31:48 [warn] Temp1 31.5, Z 29.500, N 2
2021-03-26 15:32:01 [warn] Temp1 31.3, Z 29.000, N 2
2021-03-26 15:32:13 [warn] Temp1 31.1, Z 28.500, N 2
2021-03-26 15:32:25 [warn] Temp1 30.9, Z 28.000, N 2
2021-03-26 15:32:38 [warn] Temp1 30.7, Z 27.500, N 2
2021-03-26 15:32:50 [warn] Temp1 30.7, Z 27.000, N 2
2021-03-26 15:33:02 [warn] Temp1 30.5, Z 26.500, N 2
2021-03-26 15:33:15 [warn] Temp1 30.4, Z 26.000, N 2
2021-03-26 15:33:27 [warn] Temp1 30.4, Z 25.500, N 2
2021-03-26 15:33:39 [warn] Temp1 30.0, Z 25.000, N 2
2021-03-26 15:33:52 [warn] Temp1 30.0, Z 24.500, N 2
2021-03-26 15:33:52 [warn] Profile replicate 3
2021-03-26 15:34:43 [warn] Temp1 193.0, Z 50.000, N 3
2021-03-26 15:34:55 [warn] Temp1 192.5, Z 49.500, N 3
2021-03-26 15:35:07 [warn] Temp1 191.1, Z 49.000, N 3
2021-03-26 15:35:20 [warn] Temp1 190.2, Z 48.500, N 3
2021-03-26 15:35:32 [warn] Temp1 189.4, Z 48.000, N 3
2021-03-26 15:35:44 [warn] Temp1 188.3, Z 47.500, N 3
2021-03-26 15:35:57 [warn] Temp1 187.2, Z 47.000, N 3
2021-03-26 15:36:09 [warn] Temp1 185.9, Z 46.500, N 3
2021-03-26 15:36:21 [warn] Temp1 184.5, Z 46.000, N 3
2021-03-26 15:36:34 [warn] Temp1 183.3, Z 45.500, N 3
2021-03-26 15:36:46 [warn] Temp1 182.4, Z 45.000, N 3
2021-03-26 15:36:58 [warn] Temp1 181.2, Z 44.500, N 3
2021-03-26 15:37:11 [warn] Temp1 179.3, Z 44.000, N 3
2021-03-26 15:37:23 [warn] Temp1 177.2, Z 43.500, N 3
2021-03-26 15:37:35 [warn] Temp1 174.2, Z 43.000, N 3
2021-03-26 15:37:48 [warn] Temp1 170.1, Z 42.500, N 3
2021-03-26 15:38:00 [warn] Temp1 166.9, Z 42.000, N 3
2021-03-26 15:38:12 [warn] Temp1 164.5, Z 41.500, N 3
2021-03-26 15:38:25 [warn] Temp1 161.3, Z 41.000, N 3
2021-03-26 15:38:37 [warn] Temp1 157.4, Z 40.500, N 3
2021-03-26 15:38:49 [warn] Temp1 153.5, Z 40.000, N 3
2021-03-26 15:39:02 [warn] Temp1 148.8, Z 39.500, N 3
2021-03-26 15:39:14 [warn] Temp1 143.6, Z 39.000, N 3
2021-03-26 15:39:26 [warn] Temp1 137.4, Z 38.500, N 3
2021-03-26 15:39:39 [warn] Temp1 128.9, Z 38.000, N 3
2021-03-26 15:39:51 [warn] Temp1 118.6, Z 37.500, N 3
2021-03-26 15:40:03 [warn] Temp1 105.0, Z 37.000, N 3
2021-03-26 15:40:16 [warn] Temp1 90.0, Z 36.500, N 3
2021-03-26 15:40:28 [warn] Temp1 74.8, Z 36.000, N 3
2021-03-26 15:40:40 [warn] Temp1 59.5, Z 35.500, N 3
2021-03-26 15:40:53 [warn] Temp1 49.6, Z 35.000, N 3
2021-03-26 15:41:05 [warn] Temp1 43.2, Z 34.500, N 3
2021-03-26 15:41:17 [warn] Temp1 39.3, Z 34.000, N 3
2021-03-26 15:41:30 [warn] Temp1 36.8, Z 33.500, N 3
2021-03-26 15:41:42 [warn] Temp1 35.2, Z 33.000, N 3
2021-03-26 15:41:54 [warn] Temp1 34.0, Z 32.500, N 3
2021-03-26 15:42:07 [warn] Temp1 33.1, Z 32.000, N 3
2021-03-26 15:42:19 [warn] Temp1 32.5, Z 31.500, N 3
2021-03-26 15:42:31 [warn] Temp1 32.1, Z 31.000, N 3
2021-03-26 15:42:44 [warn] Temp1 31.8, Z 30.500, N 3
2021-03-26 15:42:56 [warn] Temp1 31.5, Z 30.000, N 3
2021-03-26 15:43:08 [warn] Temp1 31.3, Z 29.500, N 3
2021-03-26 15:43:21 [warn] Temp1 31.1, Z 29.000, N 3
2021-03-26 15:43:33 [warn] Temp1 30.9, Z 28.500, N 3
2021-03-26 15:43:45 [warn] Temp1 30.7, Z 28.000, N 3
2021-03-26 15:43:58 [warn] Temp1 30.6, Z 27.500, N 3
2021-03-26 15:44:10 [warn] Temp1 30.4, Z 27.000, N 3
2021-03-26 15:44:22 [warn] Temp1 30.4, Z 26.500, N 3
2021-03-26 15:44:35 [warn] Temp1 30.3, Z 26.000, N 3
2021-03-26 15:44:47 [warn] Temp1 30.2, Z 25.500, N 3
2021-03-26 15:44:59 [warn] Temp1 30.0, Z 25.000, N 3
2021-03-26 15:44:59 [warn] Ending heatbreak profile
2021-03-26 15:44:59 [info] Event logging stopped
