2021-07-11 19:04:34 [info] Event logging started at level warn
2021-07-11 19:04:34 [info] Running: LPC176x: 3.2.2_2 (2021-02-19)
2021-07-11 19:07:03 [warn] Beginning HF heatbreak profile
2021-07-11 19:07:03 [warn] Temp0 219.0
2021-07-11 19:07:03 [warn] Temp1 24.3
2021-07-11 19:07:03 [warn] Temp2 23.0
2021-07-11 19:07:03 [warn] Temp3 222.2
2021-07-11 19:07:03 [warn] Profile replicate 1
2021-07-11 19:24:39 [warn] Temp1 227.0, Z 41.000, N 2
2021-07-11 19:24:52 [warn] Temp1 226.8, Z 40.500, N 2
2021-07-11 19:25:04 [warn] Temp1 227.0, Z 40.000, N 2
2021-07-11 19:25:16 [warn] Temp1 226.5, Z 39.500, N 2
2021-07-11 19:25:29 [warn] Temp1 227.0, Z 39.000, N 2
2021-07-11 19:25:41 [warn] Temp1 226.5, Z 38.500, N 2
2021-07-11 19:25:53 [warn] Temp1 226.5, Z 38.000, N 2
2021-07-11 19:26:06 [warn] Temp1 226.8, Z 37.500, N 2
2021-07-11 19:26:18 [warn] Temp1 226.0, Z 37.000, N 2
2021-07-11 19:26:30 [warn] Temp1 226.5, Z 36.500, N 2
2021-07-11 19:26:43 [warn] Temp1 226.0, Z 36.000, N 2
2021-07-11 19:26:55 [warn] Temp1 225.8, Z 35.500, N 2
2021-07-11 19:27:07 [warn] Temp1 225.8, Z 35.000, N 2
2021-07-11 19:27:20 [warn] Temp1 225.2, Z 34.500, N 2
2021-07-11 19:27:32 [warn] Temp1 224.8, Z 34.000, N 2
2021-07-11 19:27:44 [warn] Temp1 224.5, Z 33.500, N 2
2021-07-11 19:27:57 [warn] Temp1 223.8, Z 33.000, N 2
2021-07-11 19:28:09 [warn] Temp1 223.2, Z 32.500, N 2
2021-07-11 19:28:21 [warn] Temp1 221.0, Z 32.000, N 2
2021-07-11 19:28:34 [warn] Temp1 219.8, Z 31.500, N 2
2021-07-11 19:28:46 [warn] Temp1 217.5, Z 31.000, N 2
2021-07-11 19:28:58 [warn] Temp1 214.0, Z 30.500, N 2
2021-07-11 19:29:11 [warn] Temp1 209.5, Z 30.000, N 2
2021-07-11 19:29:23 [warn] Temp1 203.8, Z 29.500, N 2
2021-07-11 19:29:35 [warn] Temp1 195.2, Z 29.000, N 2
2021-07-11 19:29:48 [warn] Temp1 184.5, Z 28.500, N 2
2021-07-11 19:30:00 [warn] Temp1 170.2, Z 28.000, N 2
2021-07-11 19:30:12 [warn] Temp1 153.5, Z 27.500, N 2
2021-07-11 19:30:25 [warn] Temp1 134.0, Z 27.000, N 2
2021-07-11 19:30:37 [warn] Temp1 114.8, Z 26.500, N 2
2021-07-11 19:30:49 [warn] Temp1 96.8, Z 26.000, N 2
2021-07-11 19:31:02 [warn] Temp1 81.2, Z 25.500, N 2
2021-07-11 19:31:14 [warn] Temp1 71.2, Z 25.000, N 2
2021-07-11 19:31:26 [warn] Temp1 65.0, Z 24.500, N 2
2021-07-11 19:31:39 [warn] Temp1 62.0, Z 24.000, N 2
2021-07-11 19:31:51 [warn] Temp1 61.0, Z 23.500, N 2
2021-07-11 19:32:03 [warn] Temp1 60.2, Z 23.000, N 2
2021-07-11 19:32:16 [warn] Temp1 59.8, Z 22.500, N 2
2021-07-11 19:32:28 [warn] Temp1 60.0, Z 22.000, N 2
2021-07-11 19:32:40 [warn] Temp1 59.0, Z 21.500, N 2
2021-07-11 19:32:53 [warn] Temp1 59.8, Z 21.000, N 2
2021-07-11 19:33:05 [warn] Temp1 59.5, Z 20.500, N 2
2021-07-11 19:33:17 [warn] Temp1 59.5, Z 20.000, N 2
2021-07-11 19:33:17 [warn] Profile replicate 3
2021-07-11 19:34:10 [warn] Temp1 225.8, Z 50.000, N 3
2021-07-11 19:34:22 [warn] Temp1 226.2, Z 49.500, N 3
2021-07-11 19:34:35 [warn] Temp1 226.5, Z 49.000, N 3
2021-07-11 19:34:47 [warn] Temp1 226.5, Z 48.500, N 3
2021-07-11 19:34:59 [warn] Temp1 226.2, Z 48.000, N 3
2021-07-11 19:35:12 [warn] Temp1 226.2, Z 47.500, N 3
2021-07-11 19:35:24 [warn] Temp1 226.2, Z 47.000, N 3
2021-07-11 19:35:36 [warn] Temp1 226.2, Z 46.500, N 3
2021-07-11 19:35:49 [warn] Temp1 226.8, Z 46.000, N 3
2021-07-11 19:36:01 [warn] Temp1 226.2, Z 45.500, N 3
2021-07-11 19:36:13 [warn] Temp1 225.8, Z 45.000, N 3
2021-07-11 19:36:26 [warn] Temp1 226.0, Z 44.500, N 3
2021-07-11 19:36:38 [warn] Temp1 226.2, Z 44.000, N 3
2021-07-11 19:36:50 [warn] Temp1 227.0, Z 43.500, N 3
2021-07-11 19:37:03 [warn] Temp1 227.0, Z 43.000, N 3
2021-07-11 19:37:15 [warn] Temp1 227.0, Z 42.500, N 3
2021-07-11 19:37:27 [warn] Temp1 226.8, Z 42.000, N 3
2021-07-11 19:37:40 [warn] Temp1 227.0, Z 41.500, N 3
2021-07-11 19:37:52 [warn] Temp1 226.8, Z 41.000, N 3
2021-07-11 19:38:04 [warn] Temp1 227.0, Z 40.500, N 3
2021-07-11 19:38:17 [warn] Temp1 226.5, Z 40.000, N 3
2021-07-11 19:38:29 [warn] Temp1 226.2, Z 39.500, N 3
2021-07-11 19:38:41 [warn] Temp1 226.8, Z 39.000, N 3
2021-07-11 19:38:54 [warn] Temp1 226.2, Z 38.500, N 3
2021-07-11 19:39:06 [warn] Temp1 226.8, Z 38.000, N 3
2021-07-11 19:39:18 [warn] Temp1 226.0, Z 37.500, N 3
2021-07-11 19:39:31 [warn] Temp1 226.2, Z 37.000, N 3
2021-07-11 19:39:43 [warn] Temp1 226.2, Z 36.500, N 3
2021-07-11 19:39:55 [warn] Temp1 226.0, Z 36.000, N 3
2021-07-11 19:40:08 [warn] Temp1 226.0, Z 35.500, N 3
2021-07-11 19:40:20 [warn] Temp1 226.0, Z 35.000, N 3
2021-07-11 19:40:32 [warn] Temp1 225.5, Z 34.500, N 3
2021-07-11 19:40:45 [warn] Temp1 225.0, Z 34.000, N 3
2021-07-11 19:40:57 [warn] Temp1 224.8, Z 33.500, N 3
2021-07-11 19:41:09 [warn] Temp1 224.0, Z 33.000, N 3
2021-07-11 19:41:22 [warn] Temp1 223.0, Z 32.500, N 3
2021-07-11 19:41:34 [warn] Temp1 221.8, Z 32.000, N 3
2021-07-11 19:41:46 [warn] Temp1 220.0, Z 31.500, N 3
2021-07-11 19:41:59 [warn] Temp1 217.5, Z 31.000, N 3
2021-07-11 19:42:11 [warn] Temp1 214.0, Z 30.500, N 3
2021-07-11 19:42:23 [warn] Temp1 209.8, Z 30.000, N 3
2021-07-11 19:42:36 [warn] Temp1 203.5, Z 29.500, N 3
2021-07-11 19:42:48 [warn] Temp1 195.2, Z 29.000, N 3
2021-07-11 19:43:00 [warn] Temp1 184.8, Z 28.500, N 3
2021-07-11 19:43:13 [warn] Temp1 171.0, Z 28.000, N 3
2021-07-11 19:43:25 [warn] Temp1 154.0, Z 27.500, N 3
2021-07-11 19:43:37 [warn] Temp1 134.8, Z 27.000, N 3
2021-07-11 19:43:50 [warn] Temp1 115.0, Z 26.500, N 3
2021-07-11 19:44:02 [warn] Temp1 97.0, Z 26.000, N 3
2021-07-11 19:44:14 [warn] Temp1 82.0, Z 25.500, N 3
2021-07-11 19:44:27 [warn] Temp1 71.5, Z 25.000, N 3
2021-07-11 19:44:39 [warn] Temp1 65.2, Z 24.500, N 3
2021-07-11 19:44:51 [warn] Temp1 62.0, Z 24.000, N 3
2021-07-11 19:45:04 [warn] Temp1 60.5, Z 23.500, N 3
2021-07-11 19:45:16 [warn] Temp1 60.2, Z 23.000, N 3
2021-07-11 19:45:28 [warn] Temp1 60.0, Z 22.500, N 3
2021-07-11 19:45:41 [warn] Temp1 59.5, Z 22.000, N 3
2021-07-11 19:45:53 [warn] Temp1 59.2, Z 21.500, N 3
2021-07-11 19:46:05 [warn] Temp1 60.0, Z 21.000, N 3
2021-07-11 19:46:18 [warn] Temp1 59.2, Z 20.500, N 3
2021-07-11 19:46:30 [warn] Temp1 59.8, Z 20.000, N 3
2021-07-11 19:46:30 [warn] Ending heatbreak profile
2021-07-11 19:46:30 [info] Event logging stopped
