2021-03-26 15:46:53 [info] Event logging started at level warn
2021-03-26 15:46:53 [info] Running: LPC176x: 3.2_7 (2021-02-03)
2021-03-26 15:48:05 [warn] Beginning heatbreak profile
2021-03-26 15:48:05 [warn] Temp0 219.0
2021-03-26 15:48:05 [warn] Temp1 192.0
2021-03-26 15:48:05 [warn] Temp2 -273.1
2021-03-26 15:48:05 [warn] Profile replicate 1
2021-03-26 16:05:55 [warn] Temp1 173.2, Z 42.500, N 2
2021-03-26 16:06:07 [warn] Temp1 170.5, Z 42.000, N 2
2021-03-26 16:06:19 [warn] Temp1 168.0, Z 41.500, N 2
2021-03-26 16:06:32 [warn] Temp1 164.9, Z 41.000, N 2
2021-03-26 16:06:44 [warn] Temp1 161.7, Z 40.500, N 2
2021-03-26 16:06:56 [warn] Temp1 158.3, Z 40.000, N 2
2021-03-26 16:07:09 [warn] Temp1 154.6, Z 39.500, N 2
2021-03-26 16:07:21 [warn] Temp1 151.0, Z 39.000, N 2
2021-03-26 16:07:33 [warn] Temp1 146.5, Z 38.500, N 2
2021-03-26 16:07:46 [warn] Temp1 139.7, Z 38.000, N 2
2021-03-26 16:07:58 [warn] Temp1 130.7, Z 37.500, N 2
2021-03-26 16:08:10 [warn] Temp1 119.4, Z 37.000, N 2
2021-03-26 16:08:23 [warn] Temp1 107.1, Z 36.500, N 2
2021-03-26 16:08:35 [warn] Temp1 95.3, Z 36.000, N 2
2021-03-26 16:08:47 [warn] Temp1 84.5, Z 35.500, N 2
2021-03-26 16:09:00 [warn] Temp1 77.8, Z 35.000, N 2
2021-03-26 16:09:12 [warn] Temp1 73.8, Z 34.500, N 2
2021-03-26 16:09:24 [warn] Temp1 71.5, Z 34.000, N 2
2021-03-26 16:09:37 [warn] Temp1 70.1, Z 33.500, N 2
2021-03-26 16:09:49 [warn] Temp1 69.3, Z 33.000, N 2
2021-03-26 16:10:01 [warn] Temp1 68.9, Z 32.500, N 2
2021-03-26 16:10:14 [warn] Temp1 68.6, Z 32.000, N 2
2021-03-26 16:10:26 [warn] Temp1 68.5, Z 31.500, N 2
2021-03-26 16:10:38 [warn] Temp1 67.0, Z 31.000, N 2
2021-03-26 16:10:51 [warn] Temp1 61.5, Z 30.500, N 2
