2021-03-26 16:41:25 [info] Event logging started at level warn
2021-03-26 16:41:25 [info] Running: LPC176x: 3.2_7 (2021-02-03)
2021-03-26 16:43:34 [warn] Beginning heatbreak profile
2021-03-26 16:43:34 [warn] Temp0 219.2
2021-03-26 16:43:34 [warn] Temp1 193.0
2021-03-26 16:43:34 [warn] Temp2 -273.1
2021-03-26 16:43:34 [warn] Profile replicate 1
2021-03-26 16:44:16 [warn] Temp1 195.5, Z 50.000, N 1
2021-03-26 16:44:29 [warn] Temp1 193.7, Z 49.500, N 1
2021-03-26 16:44:41 [warn] Temp1 192.2, Z 49.000, N 1
2021-03-26 16:44:53 [warn] Temp1 190.6, Z 48.500, N 1
2021-03-26 16:45:06 [warn] Temp1 190.4, Z 48.000, N 1
2021-03-26 16:45:18 [warn] Temp1 190.0, Z 47.500, N 1
2021-03-26 16:45:30 [warn] Temp1 189.7, Z 47.000, N 1
2021-03-26 16:45:43 [warn] Temp1 189.0, Z 46.500, N 1
2021-03-26 16:45:55 [warn] Temp1 188.4, Z 46.000, N 1
2021-03-26 16:46:07 [warn] Temp1 187.7, Z 45.500, N 1
2021-03-26 16:46:20 [warn] Temp1 186.3, Z 45.000, N 1
2021-03-26 16:46:32 [warn] Temp1 185.2, Z 44.500, N 1
2021-03-26 16:46:44 [warn] Temp1 183.6, Z 44.000, N 1
2021-03-26 16:46:57 [warn] Temp1 181.2, Z 43.500, N 1
2021-03-26 16:47:09 [warn] Temp1 178.5, Z 43.000, N 1
2021-03-26 16:47:21 [warn] Temp1 176.8, Z 42.500, N 1
2021-03-26 16:47:34 [warn] Temp1 175.8, Z 42.000, N 1
2021-03-26 16:47:46 [warn] Temp1 172.1, Z 41.500, N 1
2021-03-26 16:47:58 [warn] Temp1 170.8, Z 41.000, N 1
2021-03-26 16:48:11 [warn] Temp1 169.2, Z 40.500, N 1
2021-03-26 16:48:23 [warn] Temp1 167.0, Z 40.000, N 1
2021-03-26 16:48:35 [warn] Temp1 163.9, Z 39.500, N 1
2021-03-26 16:48:48 [warn] Temp1 161.5, Z 39.000, N 1
2021-03-26 16:49:00 [warn] Temp1 157.4, Z 38.500, N 1
2021-03-26 16:49:12 [warn] Temp1 149.6, Z 38.000, N 1
2021-03-26 16:49:25 [warn] Temp1 136.4, Z 37.500, N 1
2021-03-26 16:49:37 [warn] Temp1 118.3, Z 37.000, N 1
2021-03-26 16:49:49 [warn] Temp1 99.0, Z 36.500, N 1
2021-03-26 16:50:02 [warn] Temp1 79.5, Z 36.000, N 1
2021-03-26 16:50:14 [warn] Temp1 61.6, Z 35.500, N 1
2021-03-26 16:50:26 [warn] Temp1 48.1, Z 35.000, N 1
2021-03-26 16:50:39 [warn] Temp1 39.7, Z 34.500, N 1
2021-03-26 16:50:39 [warn] Profile replicate 2
2021-03-26 16:51:27 [warn] Temp1 193.5, Z 50.000, N 2
2021-03-26 16:51:39 [warn] Temp1 193.8, Z 49.500, N 2
2021-03-26 16:51:51 [warn] Temp1 193.0, Z 49.000, N 2
2021-03-26 16:52:04 [warn] Temp1 191.8, Z 48.500, N 2
2021-03-26 16:52:16 [warn] Temp1 191.5, Z 48.000, N 2
2021-03-26 16:52:28 [warn] Error: Cannot delete file 0:/macros/Heatbreak_profile.g because it is open
2021-03-26 16:52:28 [warn] Error: Failed to rename file or directory 0:/macros/Heatbreak_profile.g.part to /macros/Heatbreak_profile.g
2021-03-26 16:52:28 [warn] Temp1 190.9, Z 47.500, N 2
2021-03-26 16:52:41 [warn] Temp1 189.9, Z 47.000, N 2
2021-03-26 16:52:53 [warn] Temp1 189.1, Z 46.500, N 2
2021-03-26 16:53:05 [warn] Temp1 188.6, Z 46.000, N 2
2021-03-26 16:53:18 [warn] Temp1 187.9, Z 45.500, N 2
2021-03-26 16:53:30 [warn] Temp1 186.4, Z 45.000, N 2
2021-03-26 16:53:42 [warn] Temp1 184.3, Z 44.500, N 2
2021-03-26 16:53:55 [warn] Temp1 183.5, Z 44.000, N 2
2021-03-26 16:54:07 [warn] Temp1 181.1, Z 43.500, N 2
2021-03-26 16:54:19 [warn] Temp1 178.4, Z 43.000, N 2
2021-03-26 16:54:32 [warn] Temp1 177.8, Z 42.500, N 2
2021-03-26 16:54:44 [warn] Temp1 176.2, Z 42.000, N 2
2021-03-26 16:54:56 [warn] Temp1 172.6, Z 41.500, N 2
2021-03-26 16:55:08 [warn] Temp1 170.7, Z 41.000, N 2
2021-03-26 16:55:21 [warn] Temp1 167.4, Z 40.500, N 2
2021-03-26 16:55:33 [warn] Temp1 165.9, Z 40.000, N 2
2021-03-26 16:55:45 [warn] Temp1 163.0, Z 39.500, N 2
2021-03-26 16:55:58 [warn] Temp1 159.6, Z 39.000, N 2
2021-03-26 16:56:10 [warn] Temp1 154.6, Z 38.500, N 2
2021-03-26 16:56:22 [warn] Temp1 146.0, Z 38.000, N 2
2021-03-26 16:56:35 [warn] Temp1 132.8, Z 37.500, N 2
2021-03-26 16:56:47 [warn] Temp1 115.7, Z 37.000, N 2
2021-03-26 16:56:59 [warn] Temp1 94.8, Z 36.500, N 2
2021-03-26 16:57:12 [warn] Temp1 77.1, Z 36.000, N 2
2021-03-26 16:57:24 [warn] Temp1 58.3, Z 35.500, N 2
2021-03-26 16:57:36 [warn] Temp1 45.9, Z 35.000, N 2
2021-03-26 16:57:49 [warn] Temp1 38.7, Z 34.500, N 2
2021-03-26 16:57:49 [warn] Profile replicate 3
2021-03-26 16:58:37 [warn] Temp1 194.0, Z 50.000, N 3
2021-03-26 16:58:49 [warn] Temp1 193.9, Z 49.500, N 3
2021-03-26 16:59:01 [warn] Temp1 193.1, Z 49.000, N 3
2021-03-26 16:59:14 [warn] Temp1 191.8, Z 48.500, N 3
2021-03-26 16:59:26 [warn] Temp1 191.4, Z 48.000, N 3
2021-03-26 16:59:38 [warn] Temp1 190.6, Z 47.500, N 3
2021-03-26 16:59:51 [warn] Temp1 189.8, Z 47.000, N 3
2021-03-26 17:00:03 [warn] Temp1 189.1, Z 46.500, N 3
2021-03-26 17:00:15 [warn] Temp1 188.7, Z 46.000, N 3
2021-03-26 17:00:28 [warn] Temp1 187.6, Z 45.500, N 3
2021-03-26 17:00:40 [warn] Temp1 186.0, Z 45.000, N 3
2021-03-26 17:00:52 [warn] Temp1 184.6, Z 44.500, N 3
2021-03-26 17:01:05 [warn] Temp1 182.9, Z 44.000, N 3
2021-03-26 17:01:17 [warn] Temp1 180.6, Z 43.500, N 3
2021-03-26 17:01:29 [warn] Temp1 178.2, Z 43.000, N 3
2021-03-26 17:01:42 [warn] Temp1 177.4, Z 42.500, N 3
2021-03-26 17:01:54 [warn] Temp1 175.3, Z 42.000, N 3
2021-03-26 17:02:06 [warn] Temp1 172.5, Z 41.500, N 3
2021-03-26 17:02:19 [warn] Temp1 170.1, Z 41.000, N 3
2021-03-26 17:02:31 [warn] Temp1 166.8, Z 40.500, N 3
2021-03-26 17:02:43 [warn] Temp1 165.4, Z 40.000, N 3
2021-03-26 17:02:56 [warn] Temp1 162.0, Z 39.500, N 3
2021-03-26 17:03:08 [warn] Temp1 158.8, Z 39.000, N 3
2021-03-26 17:03:20 [warn] Temp1 153.3, Z 38.500, N 3
2021-03-26 17:03:33 [warn] Temp1 144.9, Z 38.000, N 3
2021-03-26 17:03:44 [warn] HTTP client 192.168.4.21 login succeeded
2021-03-26 17:03:45 [warn] Temp1 131.2, Z 37.500, N 3
2021-03-26 17:03:46 [warn] HTTP client 192.168.4.217 login succeeded
2021-03-26 17:03:47 [warn] HTTP client 192.168.4.217 login succeeded
2021-03-26 17:03:48 [warn] HTTP client 192.168.4.217 login succeeded
2021-03-26 17:03:57 [warn] Temp1 112.1, Z 37.000, N 3
2021-03-26 17:04:10 [warn] Temp1 92.8, Z 36.500, N 3
2021-03-26 17:04:22 [warn] Temp1 75.9, Z 36.000, N 3
2021-03-26 17:04:34 [warn] Temp1 57.2, Z 35.500, N 3
2021-03-26 17:04:47 [warn] Temp1 44.9, Z 35.000, N 3
2021-03-26 17:04:59 [warn] Temp1 38.2, Z 34.500, N 3
2021-03-26 17:04:59 [warn] Ending heatbreak profile
2021-03-26 17:04:59 [info] Event logging stopped
