2021-07-10 22:05:09 [info] Event logging started at level warn
2021-07-10 22:05:09 [info] Running: LPC176x: 3.2.2_2 (2021-02-19)
2021-07-10 22:08:24 [warn] Beginning heatbreak profile
2021-07-10 22:08:24 [warn] Temp0 219.1
2021-07-10 22:08:24 [warn] Temp1 26.2
2021-07-10 22:08:24 [warn] Temp2 24.4
2021-07-10 22:08:24 [warn] Temp3 218.8
2021-07-10 22:25:57 [warn] Temp1 63.2, Z 33.000, N 2
2021-07-10 22:26:10 [warn] Temp1 55.5, Z 32.500, N 2
2021-07-10 22:26:22 [warn] Temp1 50.8, Z 32.000, N 2
2021-07-10 22:26:34 [warn] Temp1 48.5, Z 31.500, N 2
2021-07-10 22:26:47 [warn] Temp1 47.5, Z 31.000, N 2
2021-07-10 22:26:59 [warn] Temp1 46.8, Z 30.500, N 2
2021-07-10 22:27:11 [warn] Temp1 45.8, Z 30.000, N 2
2021-07-10 22:27:24 [warn] Temp1 46.5, Z 29.500, N 2
2021-07-10 22:27:36 [warn] Temp1 46.5, Z 29.000, N 2
2021-07-10 22:27:48 [warn] Temp1 46.2, Z 28.500, N 2
2021-07-10 22:28:01 [warn] Temp1 46.0, Z 28.000, N 2
2021-07-10 22:28:01 [warn] Profile replicate 3
2021-07-10 22:28:51 [warn] Temp1 225.2, Z 50.000, N 3
2021-07-10 22:29:03 [warn] Temp1 225.0, Z 49.500, N 3
2021-07-10 22:29:15 [warn] Temp1 225.5, Z 49.000, N 3
2021-07-10 22:29:28 [warn] Temp1 225.2, Z 48.500, N 3
2021-07-10 22:29:40 [warn] Temp1 225.2, Z 48.000, N 3
2021-07-10 22:29:52 [warn] Temp1 226.0, Z 47.500, N 3
2021-07-10 22:30:05 [warn] Temp1 225.2, Z 47.000, N 3
2021-07-10 22:30:17 [warn] Temp1 225.8, Z 46.500, N 3
2021-07-10 22:30:29 [warn] Temp1 226.0, Z 46.000, N 3
2021-07-10 22:30:42 [warn] Temp1 225.8, Z 45.500, N 3
2021-07-10 22:30:54 [warn] Temp1 225.8, Z 45.000, N 3
2021-07-10 22:31:06 [warn] Temp1 225.5, Z 44.500, N 3
2021-07-10 22:31:19 [warn] Temp1 225.5, Z 44.000, N 3
2021-07-10 22:31:31 [warn] Temp1 225.5, Z 43.500, N 3
2021-07-10 22:31:43 [warn] Temp1 225.0, Z 43.000, N 3
2021-07-10 22:31:56 [warn] Temp1 224.5, Z 42.500, N 3
2021-07-10 22:32:08 [warn] Temp1 224.0, Z 42.000, N 3
2021-07-10 22:32:20 [warn] Temp1 223.8, Z 41.500, N 3
2021-07-10 22:32:33 [warn] Temp1 223.0, Z 41.000, N 3
2021-07-10 22:32:45 [warn] Temp1 221.5, Z 40.500, N 3
2021-07-10 22:32:57 [warn] Temp1 219.8, Z 40.000, N 3
2021-07-10 22:33:10 [warn] Temp1 217.0, Z 39.500, N 3
2021-07-10 22:33:22 [warn] Temp1 213.8, Z 39.000, N 3
2021-07-10 22:33:34 [warn] Temp1 209.0, Z 38.500, N 3
2021-07-10 22:33:47 [warn] Temp1 202.0, Z 38.000, N 3
2021-07-10 22:33:59 [warn] Temp1 194.0, Z 37.500, N 3
2021-07-10 22:34:11 [warn] Temp1 183.2, Z 37.000, N 3
2021-07-10 22:34:24 [warn] Temp1 170.8, Z 36.500, N 3
2021-07-10 22:34:36 [warn] Temp1 156.2, Z 36.000, N 3
2021-07-10 22:34:48 [warn] Temp1 139.8, Z 35.500, N 3
2021-07-10 22:35:01 [warn] Temp1 121.5, Z 35.000, N 3
2021-07-10 22:35:13 [warn] Temp1 104.5, Z 34.500, N 3
2021-07-10 22:35:25 [warn] Temp1 88.0, Z 34.000, N 3
2021-07-10 22:35:38 [warn] Temp1 75.0, Z 33.500, N 3
2021-07-10 22:35:50 [warn] Temp1 64.0, Z 33.000, N 3
2021-07-10 22:36:02 [warn] Temp1 56.0, Z 32.500, N 3
2021-07-10 22:36:15 [warn] Temp1 51.5, Z 32.000, N 3
2021-07-10 22:36:27 [warn] Temp1 48.8, Z 31.500, N 3
2021-07-10 22:36:39 [warn] Temp1 47.8, Z 31.000, N 3
2021-07-10 22:36:52 [warn] Temp1 46.8, Z 30.500, N 3
2021-07-10 22:37:04 [warn] Temp1 46.5, Z 30.000, N 3
2021-07-10 22:37:16 [warn] Temp1 46.5, Z 29.500, N 3
2021-07-10 22:37:29 [warn] Temp1 46.2, Z 29.000, N 3
2021-07-10 22:37:41 [warn] Temp1 46.5, Z 28.500, N 3
2021-07-10 22:37:53 [warn] Temp1 46.2, Z 28.000, N 3
2021-07-10 22:37:53 [warn] Ending heatbreak profile
2021-07-10 22:37:54 [info] Event logging stopped
