2021-03-26 20:44:21 [info] Event logging started at level warn
2021-03-26 20:44:21 [info] Running: LPC176x: 3.2_7 (2021-02-03)
2021-03-26 20:45:15 [warn] Beginning heatbreak profile
2021-03-26 20:45:15 [warn] Temp0 220.4
2021-03-26 20:45:15 [warn] Temp1 193.9
2021-03-26 20:45:15 [warn] Temp2 -273.1
2021-03-26 20:45:15 [warn] Profile replicate 1
2021-03-26 21:03:01 [warn] Temp1 74.8, Z 32.500, N 2
2021-03-26 21:03:14 [warn] Temp1 74.7, Z 32.000, N 2
2021-03-26 21:03:26 [warn] Temp1 74.7, Z 31.500, N 2
2021-03-26 21:03:38 [warn] Temp1 74.7, Z 31.000, N 2
2021-03-26 21:03:51 [warn] Temp1 74.7, Z 30.500, N 2
2021-03-26 21:04:03 [warn] Temp1 74.6, Z 30.000, N 2
2021-03-26 21:04:15 [warn] Temp1 74.6, Z 29.500, N 2
2021-03-26 21:04:28 [warn] Temp1 74.6, Z 29.000, N 2
2021-03-26 21:04:40 [warn] Temp1 74.6, Z 28.500, N 2
2021-03-26 21:04:52 [warn] Temp1 74.5, Z 28.000, N 2
2021-03-26 21:04:52 [warn] Profile replicate 3
2021-03-26 21:05:42 [warn] Temp1 195.1, Z 50.000, N 3
2021-03-26 21:05:55 [warn] Temp1 194.9, Z 49.500, N 3
2021-03-26 21:06:07 [warn] Temp1 194.8, Z 49.000, N 3
2021-03-26 21:06:19 [warn] Temp1 194.4, Z 48.500, N 3
2021-03-26 21:06:32 [warn] Temp1 193.8, Z 48.000, N 3
2021-03-26 21:06:44 [warn] Temp1 193.0, Z 47.500, N 3
2021-03-26 21:06:56 [warn] Temp1 192.4, Z 47.000, N 3
2021-03-26 21:07:09 [warn] Temp1 191.3, Z 46.500, N 3
2021-03-26 21:07:21 [warn] Temp1 190.2, Z 46.000, N 3
2021-03-26 21:07:33 [warn] Temp1 189.1, Z 45.500, N 3
2021-03-26 21:07:46 [warn] Temp1 187.6, Z 45.000, N 3
2021-03-26 21:07:58 [warn] Temp1 185.2, Z 44.500, N 3
2021-03-26 21:08:10 [warn] Temp1 183.0, Z 44.000, N 3
2021-03-26 21:08:23 [warn] Temp1 182.7, Z 43.500, N 3
2021-03-26 21:08:35 [warn] Temp1 181.4, Z 43.000, N 3
2021-03-26 21:08:47 [warn] Temp1 179.4, Z 42.500, N 3
2021-03-26 21:09:00 [warn] Temp1 177.6, Z 42.000, N 3
2021-03-26 21:09:12 [warn] Temp1 175.3, Z 41.500, N 3
2021-03-26 21:09:24 [warn] Temp1 173.6, Z 41.000, N 3
2021-03-26 21:09:37 [warn] Temp1 171.9, Z 40.500, N 3
2021-03-26 21:09:49 [warn] Temp1 169.4, Z 40.000, N 3
2021-03-26 21:10:01 [warn] Temp1 167.2, Z 39.500, N 3
2021-03-26 21:10:14 [warn] Temp1 163.4, Z 39.000, N 3
2021-03-26 21:10:26 [warn] Temp1 158.1, Z 38.500, N 3
2021-03-26 21:10:38 [warn] Temp1 148.7, Z 38.000, N 3
2021-03-26 21:10:51 [warn] Temp1 136.3, Z 37.500, N 3
2021-03-26 21:11:03 [warn] Temp1 120.9, Z 37.000, N 3
2021-03-26 21:11:15 [warn] Temp1 105.8, Z 36.500, N 3
2021-03-26 21:11:28 [warn] Temp1 92.6, Z 36.000, N 3
2021-03-26 21:11:40 [warn] Temp1 83.6, Z 35.500, N 3
2021-03-26 21:11:52 [warn] Temp1 79.8, Z 35.000, N 3
2021-03-26 21:12:05 [warn] Temp1 78.4, Z 34.500, N 3
2021-03-26 21:12:17 [warn] Temp1 77.8, Z 34.000, N 3
2021-03-26 21:12:29 [warn] Temp1 77.5, Z 33.500, N 3
2021-03-26 21:12:42 [warn] Temp1 77.3, Z 33.000, N 3
2021-03-26 21:12:54 [warn] Temp1 77.2, Z 32.500, N 3
2021-03-26 21:13:06 [warn] Temp1 77.1, Z 32.000, N 3
2021-03-26 21:13:19 [warn] Temp1 76.9, Z 31.500, N 3
2021-03-26 21:13:31 [warn] Temp1 76.8, Z 31.000, N 3
2021-03-26 21:13:43 [warn] Temp1 76.6, Z 30.500, N 3
2021-03-26 21:13:56 [warn] Temp1 76.5, Z 30.000, N 3
2021-03-26 21:14:08 [warn] Temp1 76.4, Z 29.500, N 3
2021-03-26 21:14:20 [warn] Temp1 76.3, Z 29.000, N 3
2021-03-26 21:14:33 [warn] Temp1 76.2, Z 28.500, N 3
2021-03-26 21:14:45 [warn] Temp1 76.1, Z 28.000, N 3
2021-03-26 21:14:45 [warn] Ending heatbreak profile
2021-03-26 21:14:45 [info] Event logging stopped
