
2021-07-10 21:02:00 [info] Event logging started at level warn
2021-07-10 21:02:00 [info] Running: LPC176x: 3.2.2_2 (2021-02-19)
2021-07-10 21:04:02 [warn] Beginning heatbreak profile
2021-07-10 21:04:02 [warn] Temp0 219.2
2021-07-10 21:04:02 [warn] Temp1 26.8
2021-07-10 21:04:02 [warn] Temp2 24.1
2021-07-10 21:04:02 [warn] Temp2 222.5
2021-07-10 21:21:36 [warn] Temp1 155.8, Z 33.000, N 2
2021-07-10 21:21:49 [warn] Temp1 149.8, Z 32.500, N 2
2021-07-10 21:22:01 [warn] Temp1 146.0, Z 32.000, N 2
2021-07-10 21:22:13 [warn] Temp1 144.5, Z 31.500, N 2
2021-07-10 21:22:26 [warn] Temp1 143.5, Z 31.000, N 2
2021-07-10 21:22:38 [warn] Temp1 143.0, Z 30.500, N 2
2021-07-10 21:22:50 [warn] Temp1 143.0, Z 30.000, N 2
2021-07-10 21:23:03 [warn] Temp1 143.0, Z 29.500, N 2
2021-07-10 21:23:15 [warn] Temp1 142.8, Z 29.000, N 2
2021-07-10 21:23:27 [warn] Temp1 143.2, Z 28.500, N 2
2021-07-10 21:23:40 [warn] Temp1 143.2, Z 28.000, N 2
2021-07-10 21:23:40 [warn] Profile replicate 3
2021-07-10 21:24:29 [warn] Temp1 226.2, Z 50.000, N 3
2021-07-10 21:24:42 [warn] Temp1 226.2, Z 49.500, N 3
2021-07-10 21:24:54 [warn] Temp1 226.2, Z 49.000, N 3
2021-07-10 21:25:06 [warn] Temp1 226.2, Z 48.500, N 3
2021-07-10 21:25:19 [warn] Temp1 226.8, Z 48.000, N 3
2021-07-10 21:25:31 [warn] Temp1 226.2, Z 47.500, N 3
2021-07-10 21:25:43 [warn] Temp1 226.5, Z 47.000, N 3
2021-07-10 21:25:56 [warn] Temp1 227.0, Z 46.500, N 3
2021-07-10 21:26:08 [warn] Temp1 226.8, Z 46.000, N 3
2021-07-10 21:26:20 [warn] Temp1 226.5, Z 45.500, N 3
2021-07-10 21:26:33 [warn] Temp1 226.8, Z 45.000, N 3
2021-07-10 21:26:45 [warn] Temp1 226.5, Z 44.500, N 3
2021-07-10 21:26:57 [warn] Temp1 227.0, Z 44.000, N 3
2021-07-10 21:27:10 [warn] Temp1 226.5, Z 43.500, N 3
2021-07-10 21:27:22 [warn] Temp1 226.5, Z 43.000, N 3
2021-07-10 21:27:34 [warn] Temp1 226.2, Z 42.500, N 3
2021-07-10 21:27:47 [warn] Temp1 226.2, Z 42.000, N 3
2021-07-10 21:27:59 [warn] Temp1 225.8, Z 41.500, N 3
2021-07-10 21:28:11 [warn] Temp1 226.2, Z 41.000, N 3
2021-07-10 21:28:24 [warn] Temp1 225.8, Z 40.500, N 3
2021-07-10 21:28:36 [warn] Temp1 226.0, Z 40.000, N 3
2021-07-10 21:28:48 [warn] Temp1 225.5, Z 39.500, N 3
2021-07-10 21:29:01 [warn] Temp1 224.8, Z 39.000, N 3
2021-07-10 21:29:13 [warn] Temp1 223.5, Z 38.500, N 3
2021-07-10 21:29:25 [warn] Temp1 222.0, Z 38.000, N 3
2021-07-10 21:29:38 [warn] Temp1 220.5, Z 37.500, N 3
2021-07-10 21:29:50 [warn] Temp1 218.0, Z 37.000, N 3
2021-07-10 21:30:02 [warn] Temp1 214.2, Z 36.500, N 3
2021-07-10 21:30:15 [warn] Temp1 209.0, Z 36.000, N 3
2021-07-10 21:30:27 [warn] Temp1 202.8, Z 35.500, N 3
2021-07-10 21:30:39 [warn] Temp1 193.5, Z 35.000, N 3
2021-07-10 21:30:52 [warn] Temp1 184.2, Z 34.500, N 3
2021-07-10 21:31:04 [warn] Temp1 173.5, Z 34.000, N 3
