
2021-07-10 19:06:06 [info] Event logging started at level warn
2021-07-10 19:06:06 [info] Running: LPC176x: 3.2.2_2 (2021-02-19)
2021-07-10 19:07:19 [warn] Beginning heatbreak profile
2021-07-10 19:07:19 [warn] Temp0 219.1
2021-07-10 19:07:19 [warn] Temp1 26.7
2021-07-10 19:07:19 [warn] Temp2 25.5
2021-07-10 19:25:05 [warn] Temp1 26.5, Z 32.500, N 2
2021-07-10 19:25:17 [warn] Temp1 26.5, Z 32.000, N 2
2021-07-10 19:25:30 [warn] Temp1 26.4, Z 31.500, N 2
2021-07-10 19:25:42 [warn] Temp1 26.5, Z 31.000, N 2
2021-07-10 19:25:54 [warn] Temp1 26.5, Z 30.500, N 2
2021-07-10 19:26:07 [warn] Temp1 26.5, Z 30.000, N 2
2021-07-10 19:26:19 [warn] Temp1 26.5, Z 29.500, N 2
2021-07-10 19:26:31 [warn] Temp1 26.5, Z 29.000, N 2
2021-07-10 19:26:44 [warn] Temp1 26.5, Z 28.500, N 2
2021-07-10 19:26:56 [warn] Temp1 26.5, Z 28.000, N 2
2021-07-10 19:26:56 [warn] Profile replicate 3
2021-07-10 19:27:46 [warn] Temp1 26.5, Z 50.000, N 3
2021-07-10 19:27:58 [warn] Temp1 26.4, Z 49.500, N 3
2021-07-10 19:28:11 [warn] Temp1 26.4, Z 49.000, N 3
2021-07-10 19:28:23 [warn] Temp1 26.5, Z 48.500, N 3
2021-07-10 19:28:35 [warn] Temp1 26.5, Z 48.000, N 3
2021-07-10 19:28:48 [warn] Temp1 26.5, Z 47.500, N 3
2021-07-10 19:29:00 [warn] Temp1 26.5, Z 47.000, N 3
2021-07-10 19:29:12 [warn] Temp1 26.5, Z 46.500, N 3
2021-07-10 19:29:25 [warn] Temp1 26.4, Z 46.000, N 3
2021-07-10 19:29:37 [warn] Temp1 26.4, Z 45.500, N 3
2021-07-10 19:29:49 [warn] Temp1 26.5, Z 45.000, N 3
2021-07-10 19:30:02 [warn] Temp1 26.4, Z 44.500, N 3
2021-07-10 19:30:14 [warn] Temp1 26.4, Z 44.000, N 3
2021-07-10 19:30:26 [warn] Temp1 26.3, Z 43.500, N 3
2021-07-10 19:30:39 [warn] Temp1 26.3, Z 43.000, N 3
2021-07-10 19:30:51 [warn] Temp1 26.3, Z 42.500, N 3
2021-07-10 19:31:03 [warn] Temp1 26.3, Z 42.000, N 3
2021-07-10 19:31:16 [warn] Temp1 26.5, Z 41.500, N 3
2021-07-10 19:31:28 [warn] Temp1 26.4, Z 41.000, N 3
2021-07-10 19:31:40 [warn] Temp1 26.5, Z 40.500, N 3
2021-07-10 19:31:53 [warn] Temp1 26.5, Z 40.000, N 3
2021-07-10 19:32:05 [warn] Temp1 26.5, Z 39.500, N 3
2021-07-10 19:32:17 [warn] Temp1 26.5, Z 39.000, N 3
2021-07-10 19:32:30 [warn] Temp1 26.5, Z 38.500, N 3
2021-07-10 19:32:42 [warn] Temp1 26.5, Z 38.000, N 3
2021-07-10 19:32:54 [warn] Temp1 26.5, Z 37.500, N 3
2021-07-10 19:33:07 [warn] Temp1 26.5, Z 37.000, N 3
2021-07-10 19:33:19 [warn] Temp1 26.5, Z 36.500, N 3
2021-07-10 19:33:31 [warn] Temp1 26.5, Z 36.000, N 3
2021-07-10 19:33:44 [warn] Temp1 26.5, Z 35.500, N 3
2021-07-10 19:33:56 [warn] Temp1 26.5, Z 35.000, N 3
2021-07-10 19:34:08 [warn] Temp1 26.5, Z 34.500, N 3
2021-07-10 19:34:21 [warn] Temp1 26.5, Z 34.000, N 3
2021-07-10 19:34:33 [warn] Temp1 26.5, Z 33.500, N 3
2021-07-10 19:34:45 [warn] Temp1 26.5, Z 33.000, N 3
2021-07-10 19:34:58 [warn] Temp1 26.5, Z 32.500, N 3
2021-07-10 19:35:10 [warn] Temp1 26.5, Z 32.000, N 3
2021-07-10 19:35:22 [warn] Temp1 26.5, Z 31.500, N 3
2021-07-10 19:35:35 [warn] Temp1 26.5, Z 31.000, N 3
2021-07-10 19:35:47 [warn] Temp1 26.5, Z 30.500, N 3
2021-07-10 19:35:59 [warn] Temp1 26.5, Z 30.000, N 3
2021-07-10 19:36:12 [warn] Temp1 26.5, Z 29.500, N 3
2021-07-10 19:36:24 [warn] Temp1 26.6, Z 29.000, N 3
2021-07-10 19:36:36 [warn] Temp1 26.6, Z 28.500, N 3
2021-07-10 19:36:49 [warn] Temp1 26.6, Z 28.000, N 3
2021-07-10 19:36:49 [warn] Ending heatbreak profile
2021-07-10 19:36:49 [info] Event logging stopped
