2021-03-26 21:34:56 [info] Event logging started at level warn
2021-03-26 21:34:56 [info] Running: LPC176x: 3.2_7 (2021-02-03)
2021-03-26 21:37:00 [warn] Beginning heatbreak profile
2021-03-26 21:37:00 [warn] Temp0 219.1
2021-03-26 21:37:00 [warn] Temp1 191.8
2021-03-26 21:37:00 [warn] Temp2 -273.1
2021-03-26 21:37:00 [warn] Profile replicate 1
2021-03-26 21:54:46 [warn] Temp1 37.4, Z 32.500, N 2
2021-03-26 21:54:58 [warn] Temp1 36.6, Z 32.000, N 2
2021-03-26 21:55:11 [warn] Temp1 36.0, Z 31.500, N 2
2021-03-26 21:55:23 [warn] Temp1 35.6, Z 31.000, N 2
2021-03-26 21:55:35 [warn] Temp1 35.2, Z 30.500, N 2
2021-03-26 21:55:48 [warn] Temp1 35.0, Z 30.000, N 2
2021-03-26 21:56:00 [warn] Temp1 34.7, Z 29.500, N 2
2021-03-26 21:56:12 [warn] Temp1 34.6, Z 29.000, N 2
2021-03-26 21:56:25 [warn] Temp1 34.4, Z 28.500, N 2
2021-03-26 21:56:37 [warn] Temp1 34.3, Z 28.000, N 2
2021-03-26 21:56:37 [warn] Profile replicate 3
2021-03-26 21:57:27 [warn] Temp1 193.4, Z 50.000, N 3
2021-03-26 21:57:39 [warn] Temp1 193.2, Z 49.500, N 3
2021-03-26 21:57:51 [warn] Temp1 192.1, Z 49.000, N 3
2021-03-26 21:58:04 [warn] Temp1 190.7, Z 48.500, N 3
2021-03-26 21:58:16 [warn] Temp1 189.8, Z 48.000, N 3
2021-03-26 21:58:28 [warn] Temp1 188.9, Z 47.500, N 3
2021-03-26 21:58:41 [warn] Temp1 188.0, Z 47.000, N 3
2021-03-26 21:58:53 [warn] Temp1 187.2, Z 46.500, N 3
2021-03-26 21:59:05 [warn] Temp1 186.6, Z 46.000, N 3
2021-03-26 21:59:18 [warn] Temp1 184.7, Z 45.500, N 3
2021-03-26 21:59:30 [warn] Temp1 182.8, Z 45.000, N 3
2021-03-26 21:59:42 [warn] Temp1 181.1, Z 44.500, N 3
2021-03-26 21:59:55 [warn] Temp1 179.1, Z 44.000, N 3
2021-03-26 22:00:07 [warn] Temp1 176.2, Z 43.500, N 3
2021-03-26 22:00:20 [warn] Temp1 171.9, Z 43.000, N 3
2021-03-26 22:00:32 [warn] Temp1 168.8, Z 42.500, N 3
2021-03-26 22:00:44 [warn] Temp1 166.9, Z 42.000, N 3
2021-03-26 22:00:57 [warn] Temp1 163.7, Z 41.500, N 3
2021-03-26 22:01:09 [warn] Temp1 160.2, Z 41.000, N 3
2021-03-26 22:01:21 [warn] Temp1 156.1, Z 40.500, N 3
2021-03-26 22:01:34 [warn] Temp1 151.6, Z 40.000, N 3
2021-03-26 22:01:46 [warn] Temp1 146.3, Z 39.500, N 3
2021-03-26 22:01:58 [warn] Temp1 140.4, Z 39.000, N 3
2021-03-26 22:02:11 [warn] Temp1 133.4, Z 38.500, N 3
2021-03-26 22:02:23 [warn] Temp1 124.5, Z 38.000, N 3
2021-03-26 22:02:35 [warn] Temp1 113.3, Z 37.500, N 3
2021-03-26 22:02:48 [warn] Temp1 100.3, Z 37.000, N 3
2021-03-26 22:03:00 [warn] Temp1 86.9, Z 36.500, N 3
2021-03-26 22:03:12 [warn] Temp1 72.5, Z 36.000, N 3
2021-03-26 22:03:25 [warn] Temp1 59.9, Z 35.500, N 3
2021-03-26 22:03:37 [warn] Temp1 51.6, Z 35.000, N 3
2021-03-26 22:03:49 [warn] Temp1 46.2, Z 34.500, N 3
2021-03-26 22:04:02 [warn] Temp1 42.7, Z 34.000, N 3
